variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,109.57521599993925
standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,108.15570299928368
standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,99.00249400016037
standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,104.6919420004997
standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,101.3889920013753
transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,247.48315200122306
transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,217.09599499990873
transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,222.66361299989512
transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,237.36316800022905
transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,239.19222800032003
standard_decoder_only,0,64,0.1,17.716218948364258,0.03229166567325592,95.56565800085082
standard_decoder_only,1,64,0.1,15.246733665466309,0.0364583320915699,104.40292399835016
standard_decoder_only,2,64,0.1,15.495345115661621,0.03854166716337204,97.91493500051729
standard_decoder_only,3,64,0.1,19.06556510925293,0.03854166716337204,101.05279100025655
standard_decoder_only,4,64,0.1,17.11062240600586,0.03750000149011612,105.88506900057837
transformed_conv_decoder_only,0,64,0.1,14.29901123046875,0.03750000149011612,258.7088540003606
transformed_conv_decoder_only,1,64,0.1,13.279434204101562,0.03958333283662796,234.01393399944936
transformed_conv_decoder_only,2,64,0.1,12.568216323852539,0.03229166567325592,218.58559899919783
transformed_conv_decoder_only,3,64,0.1,14.925925254821777,0.0364583320915699,211.00969200051622
transformed_conv_decoder_only,4,64,0.1,13.80577278137207,0.04270833358168602,211.02375200098322
standard_decoder_only,0,64,0.2,17.777109146118164,0.02812499925494194,97.07986900139076
standard_decoder_only,1,64,0.2,15.313016891479492,0.03229166567325592,97.7644220001821
standard_decoder_only,2,64,0.2,15.39176082611084,0.046875,93.3185970006889
standard_decoder_only,3,64,0.2,18.90837287902832,0.04062499850988388,96.80933500021638
standard_decoder_only,4,64,0.2,17.095796585083008,0.03020833246409893,93.34583600139013
transformed_conv_decoder_only,0,64,0.2,14.242517471313477,0.03958333283662796,231.46193600041443
transformed_conv_decoder_only,1,64,0.2,13.25610637664795,0.04374999925494194,235.81916500006628
transformed_conv_decoder_only,2,64,0.2,12.418832778930664,0.0364583320915699,232.9515450001054
transformed_conv_decoder_only,3,64,0.2,14.998919486999512,0.03229166567325592,228.92908100038767
transformed_conv_decoder_only,4,64,0.2,13.826457023620605,0.03854166716337204,202.13061800131982
standard_decoder_only,0,64,0.3,17.788606643676758,0.02708333358168602,96.33672199925059
standard_decoder_only,1,64,0.3,15.285523414611816,0.03437500074505806,97.12180499991518
standard_decoder_only,2,64,0.3,15.454174041748047,0.0416666679084301,100.00924800078792
standard_decoder_only,3,64,0.3,19.19614601135254,0.03333333507180214,101.35974099830491
standard_decoder_only,4,64,0.3,17.018367767333984,0.03437500074505806,89.62242699999479
transformed_conv_decoder_only,0,64,0.3,14.140944480895996,0.04270833358168602,234.11332199975732
transformed_conv_decoder_only,1,64,0.3,13.204538345336914,0.04583333432674408,215.60331199907523
transformed_conv_decoder_only,2,64,0.3,12.49791145324707,0.03437500074505806,250.59138300093764
transformed_conv_decoder_only,3,64,0.3,14.987411499023438,0.03333333507180214,253.52528800067375
transformed_conv_decoder_only,4,64,0.3,14.045196533203125,0.02916666679084301,241.91082300058042
