seed,num_layers,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms
0,1,standard,0.6471152305603027,0.6471152305603027,0.65625,0.65625,73.10031099996195
1,1,standard,0.6372799873352051,0.6372799873352051,0.703125,0.703125,54.627695999897696
2,1,standard,0.6474287509918213,0.6409183740615845,0.703125,0.703125,69.6395190000203
3,1,standard,0.6716192364692688,0.6716192364692688,0.5625,0.65625,60.26072600002408
4,1,standard,0.6286694407463074,0.6267211437225342,0.703125,0.71875,62.36762799994722
0,1,transformed_conv,0.6548684239387512,0.6548684239387512,0.59375,0.65625,137.0701220000683
1,1,transformed_conv,0.6101070642471313,0.6100433468818665,0.78125,0.78125,117.04091700016761
2,1,transformed_conv,0.6723103523254395,0.6501408219337463,0.59375,0.59375,121.84164599989344
3,1,transformed_conv,0.5848792195320129,0.5755209922790527,0.734375,0.796875,129.32228199997553
4,1,transformed_conv,0.6150473356246948,0.604587733745575,0.703125,0.703125,109.60900999998557
0,2,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,96.15039799996339
1,2,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,84.93976699992345
2,2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,82.7167699999336
3,2,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,85.51564100002906
4,2,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,84.15201000002526
0,2,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,222.11813500007338
1,2,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,212.0089760001065
2,2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,208.8197340001443
3,2,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,205.29651000015292
4,2,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,212.35402699994665
0,4,standard,0.6007338762283325,0.6007338762283325,0.71875,0.78125,155.83937800010972
1,4,standard,0.5329689383506775,0.5329689383506775,0.796875,0.796875,153.94972399985818
2,4,standard,0.5979809761047363,0.5979809761047363,0.671875,0.734375,140.86615599990182
3,4,standard,0.6359220743179321,0.6359220743179321,0.625,0.71875,136.19565399994826
4,4,standard,0.5963416695594788,0.5963416695594788,0.65625,0.734375,165.0225319999663
0,4,transformed_conv,0.4981943964958191,0.4981943964958191,0.828125,0.828125,429.44188000001304
1,4,transformed_conv,0.5988223552703857,0.5988223552703857,0.703125,0.75,397.447917999898
2,4,transformed_conv,0.6479130387306213,0.6479130387306213,0.6875,0.6875,361.85940399991523
3,4,transformed_conv,0.6216293573379517,0.6216293573379517,0.796875,0.796875,353.83559400020204
4,4,transformed_conv,0.6130867004394531,0.6130867004394531,0.734375,0.734375,512.9089019999356
0,6,standard,0.6009095311164856,0.6009095311164856,0.640625,0.765625,207.72645100009868
1,6,standard,0.4448305368423462,0.4448305368423462,0.890625,0.890625,190.85147500004496
2,6,standard,0.6078467965126038,0.6078467965126038,0.640625,0.796875,204.93599999986145
3,6,standard,0.6041910648345947,0.6041910648345947,0.65625,0.734375,215.7984039999974
4,6,standard,0.5632502436637878,0.5632502436637878,0.71875,0.765625,231.607251000014
0,6,transformed_conv,0.5829037427902222,0.5829037427902222,0.75,0.78125,561.8875349998689
1,6,transformed_conv,0.4844728410243988,0.4844728410243988,0.890625,0.890625,565.5500559998927
2,6,transformed_conv,0.536698043346405,0.536698043346405,0.8125,0.8125,521.4334209999834
3,6,transformed_conv,0.5131974220275879,0.5131974220275879,0.78125,0.828125,565.5758479999804
4,6,transformed_conv,0.6867349147796631,0.6688941121101379,0.640625,0.6875,597.6404340001409
