seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,n_samples,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
0,standard,0.5429115891456604,0.5429115891456604,0.8125,0.8125,40.93779599998015,0.0624999962747097,0.018399996683001518,16,,,
1,standard,0.5933716297149658,0.5933716297149658,0.6875,0.6875,36.48043500015774,0.0625,0.019700314849615097,16,,,
2,standard,0.4921216666698456,0.4921216666698456,0.875,0.875,34.12970000044879,0.0625,0.016250288113951683,16,,,
3,standard,0.5203246474266052,0.5203246474266052,0.8125,0.8125,37.16476599993257,0.0625,0.018166229128837585,16,,,
4,standard,0.5584781169891357,0.5584781169891357,0.875,0.875,42.96791900014796,0.0624999962747097,0.01682169735431671,16,,,
0,transformed_conv,0.43525341153144836,0.43525341153144836,0.9375,0.9375,83.61889700017855,0.0625,0.05460158362984657,16,0.0049999975599348545,-0.008814769797027111,-0.004421661142259836
1,transformed_conv,0.37810131907463074,0.37810131907463074,0.9375,0.9375,70.65206499964916,0.0625,0.057158101350069046,16,0.008342835120856762,0.001703056157566607,0.00571706797927618
2,transformed_conv,0.41785159707069397,0.41785159707069397,0.8125,0.875,68.47169000002395,0.0625,0.04868645220994949,16,0.00827776174992323,-0.005707672797143459,-0.0027678855694830418
3,transformed_conv,0.34502437710762024,0.34502437710762024,1.0,1.0,69.17694899993876,0.0625,0.06984759867191315,16,0.008170686662197113,0.008122837170958519,-0.006209367420524359
4,transformed_conv,0.5024581551551819,0.5024581551551819,0.9375,0.9375,66.03994600027363,0.0625,0.06644204258918762,16,0.001506367465481162,-0.004875475540757179,0.0064131575636565685
0,standard,0.6337152719497681,0.6220446228981018,0.625,0.625,40.013063000060356,0.0625,0.016802120953798294,32,,,
1,standard,0.5965638756752014,0.5965638756752014,0.625,0.71875,37.91543499983163,0.0625,0.01905646361410618,32,,,
2,standard,0.5465059876441956,0.5465059876441956,0.8125,0.8125,42.47523200001524,0.0625,0.016687892377376556,32,,,
3,standard,0.5362981557846069,0.5362981557846069,0.875,0.875,37.14099699982398,0.0625,0.018511859700083733,32,,,
4,standard,0.5517644882202148,0.5517644882202148,0.78125,0.78125,39.84049500013498,0.0625,0.017760207876563072,32,,,
0,transformed_conv,0.5112820863723755,0.5112820863723755,0.84375,0.875,91.64174499983346,0.0625,0.05847276374697685,32,0.008260705508291721,-0.002695061732083559,-0.006372717209160328
1,transformed_conv,0.4950416088104248,0.4950416088104248,0.8125,0.90625,98.35395700019944,0.0625,0.06069301441311836,32,0.0036100377328693867,-0.007601548917591572,0.00875240657478571
2,transformed_conv,0.4952593743801117,0.4952593743801117,0.84375,0.84375,87.58974100010164,0.0625,0.04606055095791817,32,0.00736685935407877,0.004035696852952242,-0.004325644113123417
3,transformed_conv,0.43325918912887573,0.43325918912887573,0.96875,0.96875,79.6364379998522,0.0625,0.07078089565038681,32,0.004999174736440182,0.0030100916046649218,-0.00501978537067771
4,transformed_conv,0.5989589095115662,0.5989589095115662,0.75,0.75,77.37691900001664,0.0625000074505806,0.05834336578845978,32,0.006051035597920418,-0.008274704217910767,0.00677028764039278
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,55.23985900026673,0.0625,0.017292123287916183,64,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,59.15372500021476,0.0625,0.01815955340862274,64,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,58.173509999960515,0.0625,0.01653633452951908,64,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,56.12487200005489,0.0625,0.018704602494835854,64,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,57.61649899977783,0.0624999925494194,0.017603298649191856,64,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,151.52890999979718,0.0625,0.058886658400297165,64,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,174.69827300010365,0.0625,0.05740141496062279,64,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,158.30290900021282,0.0625,0.05327144265174866,64,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,156.44869100015057,0.0625,0.06610559672117233,64,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,145.37710800004788,0.0625,0.05428275093436241,64,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
0,standard,0.6842867732048035,0.6819314360618591,0.578125,0.6015625,122.94157999986055,0.0625,0.017407560721039772,128,,,
1,standard,0.6292555928230286,0.6292555928230286,0.71875,0.71875,127.68034300006548,0.0625,0.018210092559456825,128,,,
2,standard,0.6621320247650146,0.6612650156021118,0.578125,0.6171875,108.10655599971142,0.0624999962747097,0.015977760776877403,128,,,
3,standard,0.6066380739212036,0.6066380739212036,0.6875,0.6875,104.43686400003571,0.0624999962747097,0.018759895116090775,128,,,
4,standard,0.6591979265213013,0.6500943899154663,0.6328125,0.703125,106.99587399994925,0.0625,0.017356378957629204,128,,,
0,transformed_conv,0.653611421585083,0.653611421585083,0.609375,0.640625,228.77294199997777,0.0625,0.05477274954319,128,0.005807160399854183,0.005576338153332472,-0.006729258224368095
1,transformed_conv,0.6411688923835754,0.6411688923835754,0.6328125,0.671875,234.565929999917,0.0625,0.05701257660984993,128,0.003150881500914693,0.002893528202548623,0.007898889482021332
2,transformed_conv,0.5974051356315613,0.5974051356315613,0.6875,0.6875,223.27270200003113,0.0624999962747097,0.054979853332042694,128,0.001092230319045484,-0.00390648702159524,-0.0019424044294282794
3,transformed_conv,0.6128972172737122,0.6128972172737122,0.7421875,0.7421875,242.67869700042866,0.0625,0.06343060731887817,128,0.008715009316802025,-0.008541537448763847,-0.007959287613630295
4,transformed_conv,0.6562052965164185,0.653308093547821,0.65625,0.6875,237.82884799993553,0.0625,0.053026169538497925,128,-0.006875805091112852,0.003204288426786661,-0.004910609684884548
