seed,model_type,num_layers,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,encoder_attn_mean,cross_attn_mean,dict_gate
0,standard_seq2seq,2,12.528380393981934,12.528380393981934,0.01953125,0.0224609375,331.5215719999287,0.0624999925494194,0.0625,
1,standard_seq2seq,2,12.04732894897461,12.04732894897461,0.0166015625,0.0166015625,318.4507610003493,0.0625,0.0625000074505806,
2,standard_seq2seq,2,11.66925048828125,11.66925048828125,0.013671875,0.01953125,302.81417300011526,0.0625,0.0625,
3,standard_seq2seq,2,13.345211029052734,13.345211029052734,0.0224609375,0.0234375,299.1651050001565,0.0624999925494194,0.0625,
4,standard_seq2seq,2,11.91790771484375,11.91790771484375,0.0166015625,0.0185546875,299.9277690000781,0.0625,0.0624999962747097,
0,analysis_synthesis_conv,2,9.942933082580566,9.942933082580566,0.0107421875,0.013671875,897.3987350000243,0.0625,0.0624999962747097,0.00747623760253191
1,analysis_synthesis_conv,2,9.844874382019043,9.844874382019043,0.015625,0.0205078125,716.156478999892,0.0625,0.0625,-0.008682239800691605
2,analysis_synthesis_conv,2,8.713808059692383,8.713808059692383,0.0205078125,0.0263671875,648.7978259997362,0.0625000074505806,0.0625,0.008773203007876873
3,analysis_synthesis_conv,2,9.492509841918945,9.492509841918945,0.0205078125,0.025390625,646.9549459998234,0.0624999962747097,0.0625,0.00896457303315401
4,analysis_synthesis_conv,2,10.626996040344238,10.626996040344238,0.017578125,0.0263671875,659.0186059997905,0.0625,0.0625,0.009017087519168854
