seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,q_gate,k_gate,v_gate
0,standard,0.528825044631958,0.528825044631958,0.65625,0.65625,42.50029800004995,0.0625000074505806,0.024611178785562515,,,
1,standard,0.5635289549827576,0.5635289549827576,0.8125,0.8125,40.42500599985033,0.0625,0.027055753394961357,,,
2,standard,0.5719316005706787,0.5719316005706787,0.8125,0.8125,38.76704999993308,0.0625000074505806,0.02399228699505329,,,
3,standard,0.5470471382141113,0.5470471382141113,0.875,0.875,40.04005599995253,0.0625,0.02249174192547798,,,
4,standard,0.6227512359619141,0.6227512359619141,0.6875,0.6875,41.64540000010675,0.0625,0.0221113134175539,,,
0,transformed_conv,0.5191448330879211,0.5191448330879211,0.9375,0.9375,101.98226300008173,0.0624999962747097,0.0711265355348587,-0.007424062117934227,0.008119168691337109,0.00823849719017744
1,transformed_conv,0.5401164889335632,0.5401164889335632,0.6875,0.6875,92.24416100005328,0.0625,0.07383394986391068,-0.009067943319678307,-0.006220638751983643,-0.009041744284331799
2,transformed_conv,0.5637408494949341,0.5637408494949341,0.6875,0.6875,82.1595959998831,0.0625,0.06629326194524765,0.009053213521838188,0.00828801654279232,-0.005022308323532343
3,transformed_conv,0.513650119304657,0.513650119304657,0.9375,0.9375,73.71805900015715,0.0625000074505806,0.07406768947839737,0.008730990812182426,0.008594417944550514,-0.008403982035815716
4,transformed_conv,0.5556434988975525,0.5556434988975525,0.78125,0.78125,71.89988100003575,0.0625,0.06925632804632187,-0.00909083615988493,0.009102566167712212,-0.002909607719630003
